"","Gene","Bh.10.1","Bh.10.2","Bh.10.3","Bh.14.1","Bh.14.2","Bh.14.3","Bh.18.1","Bh.18.2","Bh.18.3","Bh.22.1","Bh.22.2","Bh.22.3","Bh.2.1","Bh.2.2","Bh.2.3","Bh.6.1","Bh.6.2","Bh.6.3"
"5155","Bradi2g06836.v3.1",3.456602328,3.237654477,2.147054167,2.275726815,2.408512247,4.631282927,5.869769593,5.385258333,5.607380996,2.088154578,4.491355264,3.337908741,4.309163096,3.273545797,1.643219597,3.103931185,1.906653305,1.751647424
"5156","Bradi2g06890.v3.1",16.62744913,14.22255359,23.15084493,4.428441369,14.45107348,17.7196912,18.1721634,5.486866981,21.96224223,10.64958835,23.45485527,20.32415544,22.95865584,13.59780562,15.15413628,21.25722569,10.16881763,8.841648904
"5157","Bradi2g06900.v3.1",35.10239261,30.87334804,35.1930183,29.21541181,25.82921755,26.88157699,34.17331612,30.68581163,39.48530784,35.91625874,36.18036185,39.31314739,44.50447132,45.74570408,39.89372021,25.48985913,26.94736671,21.01976909
"5159","Bradi2g06920.v3.1",10.13142062,9.134810845,10.08181957,6.581155924,10.63067475,7.651684836,8.844858291,11.07534261,12.96706855,9.501103329,11.56108114,14.61262271,6.922917761,6.88283988,7.029328275,10.15832024,9.660376745,8.174354647
"5160","Bradi2g06930.v3.1",8.820295596,6.359678436,6.907913407,9.041401129,11.6273005,11.27616713,11.81994699,10.36408207,12.14932549,10.64958835,7.735111843,10.16207772,12.00914306,15.10867291,8.946417804,6.490037933,10.23237274,8.841648904
"5161","Bradi2g06950.v3.1",28.5467675,24.28240857,29.68535761,26.38612983,32.39033712,26.07613648,23.47907837,17.47668742,19.50901305,17.64490618,18.13176755,18.54393745,27.97423912,26.02049223,24.00926411,28.49973179,15.88877754,17.43306246
"5162","Bradi2g06980.v3.1",25.86492087,20.350971,21.09714095,13.59285476,15.36464709,18.72649183,18.97624142,9.65282154,14.95301599,19.5242453,24.7856272,18.0247072,26.70268279,14.18536512,17.34509574,17.49488486,16.33366331,15.34776791
"5163","Bradi2g07000.v3.1",31.58619369,26.13249685,28.56515544,34.68945739,32.7225457,31.81490011,26.37375927,37.69680833,26.40141885,22.7608849,21.79139035,25.73898518,33.13110643,38.77892713,29.39537278,30.28684369,23.57894587,23.10506365
"5164","Bradi2g07021.v3.1",9.237471739,18.38525221,8.028115581,9.594956301,9.301840402,9.866646235,7.317110041,7.82386588,5.140099246,7.308541022,6.820206142,7.046696231,3.885310988,9.568826174,7.029328275,13.45036847,14.29989979,22.68800474
"5165","Bradi2g07030.v3.1",30.27506867,38.85185372,39.11372591,22.51124363,37.62262234,28.69381813,32.08271326,27.73916085,25.46685536,41.86749928,36.84574781,35.4560084,40.40723428,37.35199691,35.87696119,36.77688162,26.05759517,30.52871225
"5166","Bradi2g07040.v3.1",48.39243259,52.26499369,42.47433243,53.14129643,41.27691679,53.05839353,36.5855502,45.21584827,41.12079397,41.34546064,36.26353509,43.17028638,62.5181859,73.19312653,54.77398656,43.73721216,57.64448492,49.63001036
"5167","Bradi2g07050.v3.1",36.94988695,28.09821564,33.6994154,42.62374818,31.14455492,30.10333902,35.37943316,22.35390251,33.4106451,16.70523662,23.95389474,35.7527114,50.08519074,37.77168227,30.85601243,26.99479546,27.07447693,28.02635879
